location,cc,adm1,code,region,group,kenrick2004,cva2,consp,ips,daf,dafcode,delage,mees,bib,notes,gns,lng,lat,
Koenigshofen,FR,67/Bas-Rhin,EGTS,"East Gaulish","Ateliers Alsaciens secondaires",,,,,234,,,,,,Koenigshofen/FR/67/Bas-Rhin,7.68333,48.5667,
Köngen,DE,,,,,,,,,262,,,,,"daf: Découvertes des moules",,,,
Kräherwald,DE,Baden-Württemberg,EGTS,"East Gaulish","Schwäbische Ware",,,,51,262,,delage,"Schwäbische Ware",,,Kräherwald/DE/Baden-Württemberg,9.15,48.7833,
"La Caouette",FR,55/Meuse,ARGO,Argonne,"Groupe d'Argonne",,,,,204,,,,,"daf: part of vauquois/avocourt group","La Caouette/FR/55/Meuse",5.06667,49.2,
"La Forêt de Hesse",FR,55/Meuse,ARGO,Argonne,"Groupe d'Argonne",,,,,204,Fh,,,,"daf: part of vauquois/avocourt group","Hesse; Forêt de/FR/55/Meuse",5.11667,49.1833,
"La Madeleine",FR,54/Meurthe-et-Moselle,EGTS,"East Gaulish","Fabriques dispersées de l'est",,,,38,244,Md,delage,,,,"La Madeleine/FR/54/Meurthe-et-Moselle",6.25,48.65,
Landsthuhl,DE,,,,,,,,,262,,,,,"daf: Découvertes des moules",,,,
"La Rioja",ES,,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,"La Rioja/ES/",-2.5,42.3333,
Lausanne,CH,,EGTS,"East Gaulish",Swiss,,,,,265,,delage,,,"Lausanne­-Vidy daf:La Peniche, Lausanne",Lausanne/CH/,6.66667,46.5333,
Lavoye,FR,55/Meuse,ARGO,Argonne,"Groupe d'Argonne",,,,39,196,La,,,,,Lavoye/FR/55/Meuse,5.13333,49.0333,
"Le Champs-des-Bierres",FR,,,,,,,,,204,,,,,"daf: part of vauquois/avocourt group",,,,
Lehen,DE,Baden-Württemberg,EGTS,"East Gaulish","Upper Germany",,,,40,,,,Gsup,,,Lehen/DE/Baden-Wurttemberg,7.8,48.0166667,
Lehen,DE,,,,,,,,,262,,,,,"daf: Découvertes des moules",,,,
"Le Rozier",FR,48/Lozère,SGTS,"South Gaulish","Groupe de La Graufesenque",,,,3,110,Ro,delage,,,,"Le Rozier/FR/48/Lozère",3.21667,44.1833,
"Les Allieux",FR,55/Meuse,ARGO,Argonne,"Groupe d'Argonne",,,,42,204,Al,,,,"daf: part of vauquois/avocourt group","Les Allieux/FR/55/Meuse",5.06667,49.2,
Lezoux,FR,63/Puy-de-Dôme,CGTS,"Central Gaulish","Groupe de Lezoux",,,P18-19,16,138,Le,delage,,,,Lezoux/FR/63/Puy-de-Dôme,3.38333,45.8333,
Liédena,ES,Navarra,SPTS,Spanish,"Navarre region",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Liédena/ES/Navarra,-1.26667,42.6167,
Lubié,FR,03/Allier,CGTS,"Central Gaulish","Groupe de Lezoux",,,,17,162,Lb,delage,,,,Lubié/FR/03/Allier,3.63333,46.25,
Luc­sur­Orbieu,FR,,,,,,,,,,,delage,,,,,,,
Luxeuil,FR,70/Haute-Saône,EGTS,"East Gaulish","Fabriques dispersées de l'est",,,,43,241,Lx,delage,Gsup,,"ips: Luxeuil-les-Bains",Luxeuil/FR/70/Haute-Saône,6.38333,47.8167,
Lyon,FR,69/Rhône,CGTS,"Central Gaulish","Groupe des ateliers rhodaniens",,p28,p19-20,,126,"Ll,Lm",delage,,,"Italian-type Ll=Loyasse Lm=La Muette",Lyon/FR/69/Rhône,4.85,45.75,
Mainz,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Málaga,ES,Málaga,SPTS,Spanish,"Andujar region",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Málaga/ES/Málaga,-4.41667,36.7167,
Manglieu,FR,,,,,,,,,,,delage,,,,,,,
Manjarrés,ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Manjarrés/ES/Logroño,-2.66667,42.3833,
Mareuil­les­-Meaux,FR,,,,,,,,,,,delage,,,,,,,
Martigny,CH,,EGTS,"East Gaulish",Swiss,,,,,275,,,,,"daf: ateliers supposés",Martigny/CH/,7.08333,46.0917,
Martres-de-Veyre,FR,63/Puy-de-Dôme,CGTS,"Central Gaulish","Groupe de Lezoux",,,,18,145,Mr,delage,,,"Les Martres-de-Veyre",Martres-de-Veyre/FR/63/Puy-de-Dôme,3.2,45.6833,
Maziéres-en­-Mauges,FR,,,,,,,,,,,delage,,,,,,,
Metz,FR,57/Moselle,EGTS,"East Gaulish","Ateliers de la Moselle",,,,,224,Me,delage,,,,Metz/FR/57/Moselle,6.16667,49.1333,
Millau,FR,12/Aveyron,SGTS,"South Gaulish","Groupe de La Graufesenque",,,P18-19,1,96,Gr,delage,,,"La Grafesenque",Millau/FR/12/Aveyron,3.08333,44.1,
Mittelbronn,FR,57/Moselle,EGTS,"East Gaulish","Ateliers de la Moselle",,,,44,218,Mi,delage,,,,Mittelbronn/FR/57/Moselle,7.21667,48.7667,
Montans,FR,81/Tarn,SGTS,"South Gaulish","Groupe de Montans",,,P18-19,11,58,Mn,delage,,,,Montans/FR/81/Tarn,1.9,43.8667,
Montroig,ES,Tarragona,SPTS,Spanish,"Mediterranean coast",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Montroig/ES/Tarragona,0.966667,41.0833,
Mougon,FR,37/Indre-et-Loire,CGTS,"Central Gaulish","Groupe du Centre-Ouest",,,,19,131,Mo,,,,,Mougon/FR/37/Indre-et-Loire,0.466667,47.1,
Narbonne,FR,11/Aude,SGTS,"South Gaulish","Groupe de Bram",,,p20,9,52,Na,delage,,,Italian-type,Narbonne/FR/11/Aude,3,43.1833,
Nassenfels,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
"Neuhausen auf den Fildern",DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Neuss,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Nouâtre,FR,37/Indre-et-Loire,CGTS,"Central Gaulish","Groupe du Centre-Ouest",,,,20,133,No,,,,,Nouâtre/FR/37/Indre-et-Loire,0.55,47.05,
Nürtingen,DE,Baden-Württemberg,EGTS,"East Gaulish","Schwäbische Ware",,,,45,263,,,"Schwäbische Ware",,"daf: Découvertes des moules",Nurtingen/DE/Baden-Wurttemberg,9.35,48.6333333,
Nyon,CH,,,,,,,,,,,delage,,,,,,,
Offemont,FR,90/Territoire-de-Belfort,EGTS,"East Gaulish","Ateliers d'Alsace",,,,46,231,Of,delage,,,,Offemont/FR/90/Territoire-de-Belfort,6.88333,47.6667,
Ostia,IT,,ITTS,Italian,,,,p11,,,,,,,"some chemical analysis suggests production",,,,
Pamplona,ES,Navarra,SPTS,Spanish,"Navarre region",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Pamplona/ES/Navarra,-1.63333,42.8167,
Pantoja,ES,Toledo,SPTS,Spanish,"Tajo valley",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Pantoja/ES/Toledo,-3.83333,40.05,
Petinesca­-Studen,CH,,,,,,,,,,,delage,,,"nr Brugg",,,,
Pfaffenhofen,DE,Bayern,EGTS,"East Gaulish",Raetian,,,,53,261,,,,,,Pfaffenhofen/DE/Bayern,12.1333,47.9,
Pisa,IT,Toscana,ITTS,Italian,,,p30,p7,,,,,,,,Pisa/IT/Toscana,10.3833,43.7167,
Pocking,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Poitiers,FR,86/Vienne,CGTS,"Central Gaulish","Groupe du Centre-Ouest",,,,,136,Po,,,,,Poitiers/FR/86/Vienne,0.333333,46.5833,
Pont-des-Rèmes,FR,51/Marne,ARGO,Argonne,"Groupe d'Argonne",,,,41,201,Pr,,,,"daf: Le Pont-des-Rèmes",Pont-des-Rèmes/FR/51/Marne,4.95,49.1333,
"Ponte a Buriano",IT,,ITTS,Italian,"Arrezo group",,p27,p6,,,,,,,"Fulle 1997 JRS : Sites used by P. Cornelius cva2:ponte a Buriano","Ponte Buriano/IT",11.8,43.507,
"Po Valley",IT,,ITTS,Italian,Padana,,p32,P8-10,,,,,,,"cva2: suggests Modena Piacenza area","Po Valley/IT/",10.5,45,
Pozzuoli,IT,,ITTS,Italian,Campanian,p253,p32,P11-12,,,,,,,"also Puteoli/IT; CVA2 uses Pozzuoli/Cumae",Pozzuoli/IT/,14.1167,40.8167,
Pradejón,ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Pradejón/ES/Logroño,-2.06667,42.3333,
Pulborough,GB,Sussex,APTS,British,Pulborough,,,,56,,,,,,,Pulborough/GB/,-0.516667,50.95,
Reichshoffen,FR,67/Bas-Rhin,EGTS,"East Gaulish","Ateliers Alsaciens secondaires",,,,,234,,,,,,Reichshoffen/FR/67/Bas-Rhin,7.66667,48.9333,
Rheinzabern,DE,Rheinland-Pfalz,EGTS,"East Gaulish","Upper Germany",,,,47,261,,delage,Gsup,,,Rheinzabern/DE/Rheinland-Pfalz,8.28333,49.1167,
Riegel,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Rome,IT,Lazio,ITTS,Italian,"Central Italy",,,p10,,,,,,,"Distribution of some stamps suggests production in/near Rome; Fulle 1997 p136",Rome/IT/Lazio,12.4833,41.9,
Rottweil,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Ruidoms,ES,Tarragona,SPTS,Spanish,"Mediterranean coast",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Ruidoms/ES/Tarragona,1.05,41.1333,
Rutesheim,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Sabadell,ES,Barcelona,SPTS,Spanish,"Mediterranean coast",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Sabadell/ES/Barcelona,2.1,41.55,
Saint-Romain-en-Gal,FR,69/Rhône,CGTS,"Central Gaulish","Groupe des ateliers rhodaniens",,,p20,,127,Sr,delage,,,Italian-type,Saint-Romain-en-Gal/FR/69/Rhône,4.86667,45.5333,
Saint-Sauveur,FR,81/Tarn,SGTS,"South Gaulish","Groupe de Montans",,,,12,78,Su,delage,,,,Saint-Sauveur/FR/81/Tarn,1.91667,43.9,
"Sankt Pölten",AT,,,,,,,,,,,,"Noricum: TS or imitation",,,,,,
Schiltigheim,FR,67/Bas-Rhin,,,"Ateliers Alsaciens secondaires",,,,,234,Sc,,"mould only",,,Schiltigheim/FR/67/Bas-Rhin,7.75,48.6,
Schönbuch,DE,,,,,,,,,263,,,,,"daf: Découvertes des moules",,,,
Schwabegg,DE,Bayern,EGTS,"East Gaulish",Raetian,,,,50,262,,,Raetia,,,Schwabegg/DE/Bayern,10.6833,48.1833,
Schwabmünchen,DE,Bayern,EGTS,"East Gaulish","Upper Germany",,,,,262,,,,,,Schwabmünchen/DE/Bayern,10.75,48.1833,
Scoppieto,IT,Umbria,ITTS,Italian,"Central Italy",p254,p33,,,,,,,,,Scoppieto/IT,12.2833333,42.7166667,"12.2833333      42.7166667 "
Sinzig,DE,Rheinland-Pfalz,EGTS,"East Gaulish","Lower Germany",,,,48,261,,delage,Ginf,,,Sinzig/DE/Rheinland-Pfalz,7.25,50.55,
Solsona,ES,Lugo,SPTS,Spanish,"Lérida region",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Solsona/ES/Lugo,1.51667,41.9833,
Sotés,ES,,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,sotés/ES,-2.6054,42.39076,
"Talavera de la Reina",ES,Toledo,SPTS,Spanish,"Tajo valley",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,"Talavera de la Reina/ES/Toledo",-4.83333,39.95,
Terre-Franche,FR,03/Allier,CGTS,"Central Gaulish","Groupe de Lezoux",,,,22,155,Tf,delage,,,"ips: vichy, terre-franche",Terre-Franche/FR/03/Allier,3.4,46.1167,
Tiermes,ES,,SPTS,Spanish,"Duero valley",,,,,,,,,"Fernandez Fonesca PIA 6 1995","Montejo de Tiermes?",Tiermes/ES,-3.2,41.36667,
"Torrita di Siena",IT,,ITTS,Italian,,p254,p33,p10,,,,,,,,"Torrita di Siena/IT",11.7666667,43.1666667,"11.7666667      43.1666667 "
Toulon-sur-Allier,FR,03/Allier,CGTS,"Central Gaulish","Groupe de Lezoux",,,,21,153,To,delage,,,,Toulon-sur-Allier/FR/03/Allier,3.36667,46.5167,
Tricio,ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Tricio/ES/Logroño,-2.71667,42.4,
Trier,DE,Rheinland-Pfalz,EGTS,"East Gaulish","Upper Germany",,,,49,262,,delage,,,,Trier/DE/Rheinland-Pfalz,6.63333,49.75,
Uxama,ES,,SPTS,Spanish,"Duero valley",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,uxama/ES,0,0,
Valéry,FR,81/Tarn,SGTS,"South Gaulish","Groupe de Montans",,,,13,78,Va,delage,,,,Valéry/FR/81/Tarn,1.96667,43.7833,
"Vallée de la Vienne et du Clain",FR,,,,,,,,,,,delage,,,,,,,
Vasanello,IT,,ITTS,Italian,"Central Italy",p254,p33,,,,,,,,"In preliminary CVA2 documenation",Vasanello/IT/,12.35,42.4167,
Vauquois,FR,55/Meuse,ARGO,Argonne,"Groupe d'Argonne",,,,,204,,,,,,Vauquois/FR/55/Meuse,5.06667,49.2,
Venosa,IT,,ITTS,Italian,,p254,p35,,,,,,,,,Venosa/IT,15.8166667,40.9666667,"15.8166667      40.9666667"
Vichy,FR,03/Allier,CGTS,"Central Gaulish","Groupe de Lezoux",,,,22,161,Vi,delage,,,"ips: vichy, terre-franche",Vichy/FR/03/Allier,3.41667,46.1167,
Vidy,CH,,,,,,,,,275,,,,,"daf: kilns and wasters",,,,
Villeneuve­la­-Comptal,FR,,,,,,,,,,,delage,,,,,,,
Waiblingen­-Beinstein,DE,Baden-Württemberg,EGTS,"East Gaulish","Schwäbische Ware",,,,52,262,,delage,"Schwäbische Ware",,"ips: Waiblingen",Waiblingen/DE/Baden-Wurttemberg,9.3,48.8333333,
Westerndorf,DE,Bayern,EGTS,"East Gaulish",Raetian,,,,54,262,,,Raetia,,,Westerndorf/DE/Bayern,12.1667,47.85,
Windisch,CH,,,,,,,,,275,,,"mould only",,"mees: vindonissa, daf: environs de vindonissa",Windisch/CH/,8.23333,47.4667,
Yverdon,CH,,,,,,,,,,,delage,,,,,,,
Yzeure,FR,,,,,,,,,,,delage,,,,,,,
